district,taluka,area,registrationNo,propertyName,propertyAddress,noOfRooms
North Goa,Bardez,Anjuna,HOTN005972,The Fern'S,"B1g2 Aldeia Portuguesa Vagator Beach Road Vagator,
 Anjuna, Bardez, North Goa",1
North Goa,Bardez,Anjuna,HOTN005974,Tourist Paying Gusest,"H No . 808 Ward Xi Gaonkar Warddo, Anjuna, Bardez,
 North Goa",6
North Goa,Bardez,Anjuna,HOTN005982,C-9 Guest House,"Eh No 389 St.Anthony Prais Waddo, Anjuna, Bardez,
 North Goa",12
North Goa,Bardez,Anjuna,HOTN005983,Dreamwood,"Villa House No 645/1, Anjuna, Bardez, North Goa",5
North Goa,Bardez,Anjuna,HOTN005984,Lina Carvalho,"69/6 Govekar Vaddo Anjuna Bardez Goa, Anjuna,
 Bardez, North Goa",8
North Goa,Bardez,Anjuna,HOTN005999,Sea Garden Guest House,"Goenkar Waddo, Anjuna, Bardez, North Goa- 403509",7
North Goa,Bardez,Anjuna,HOTN006014,Aurelia Villa C,"H No 164/3g Anjuna Bardez Goa, Anjuna, Bardez,
 North Goa",3
North Goa,Bardez,Anjuna,HOTN006015,Aurelia Villa D,"H No 164/3b Anjuna Bardez Goa, Anjuna, Bardez,
 North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN006017,Villa Sobreda,"H No 164/2 Anjuna Bardez Goa, Anjuna, Bardez,
 North Goa",4
North Goa,Bardez,Anjuna,HOTN006020,Casa Staar,"Villa 4 Neel Villas H.No 1035 8d Sy .No. 24 11 And 24
 24, Anjuna, Bardez, North Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN006034,Urdki,"Boutta Vaddo, Anjuna, Bardez, North Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN006044,Smart Holiday Homes,"Opp St Anthony Hospital Raj Exotic Palms, Anjuna,
 Bardez, North Goa",1
North Goa,Bardez,Anjuna,HOTN006084,Ashray Symphony,"Hno 470/9 Apt No 9 Block A Symphonny, Anjuna,
 Bardez, North Goa",1
North Goa,Bardez,Anjuna,HOTN006087,White Castle,"Villa No 108 Roselle Avenue Ozran Beach Road Coutinho Waddo Vagator, Anjuna, Bardez, North Goa",4
North Goa,Bardez,Anjuna,HOTN006147,Under The Sky,"F-105, Adhiraj Ocean Vista, Vagator, Anjuna, Bardez,
 North Goa",2
North Goa,Bardez,Anjuna,HOTN006170,Golden Leaf,"Hno 470/15 Symphonny Block A 3rd Level Apartment
 No 15, Anjuna, Bardez, North Goa",1
North Goa,Bardez,Anjuna,HOTN006172,Bandurria,"Villa No 5 Hno 174.4e Bandurria La Viola, Anjuna,
 Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN006180,Rajeev Mishra,"Flea Market Road, Anjuna, Bardez, North Goa- 403509",12
North Goa,Bardez,Anjuna,HOTN006186,Sandeep Guest House,"St Michael Waddo , Anjuna Flea Market, Anjuna,
 Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006196,Groovy By Alohagoa,"V11, Goveia Holiday Homes, Vagator Anjuna Road,
 Behind New Anjuna Police Station, Anjuna Goa, Anjuna, Bardez, North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN006199,Selwyn Guest House,"927, Pequen Peddem, Anjuna, Bardez, North Goa-
 403509",6
North Goa,Bardez,Anjuna,HOTN006210,La Sierra Villa 8,"Hno 186/4h La Sierra Anjuna, Anjuna, Bardez, North
 Goa",3
North Goa,Bardez,Anjuna,HOTN006218,Goanbnb,"Pamela Palms, Mazal Waddo, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006221,Cloud 7,"H.No 626/1a To 626/1g Cloud 7 Near Anjuna Police
 Station, Anjuna, Bardez, North Goa",28
North Goa,Bardez,Anjuna,HOTN006249,Earthlings,"Hno 01/201 2nd Floor Charvi Reemz Sorranto
 Anjuna, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN006264,Apartment No. 01,"H. No. 136/2 (1), El Sereno, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006266,Apartment No. 201,"H. No. 136/2 (13), El Sereno, Anjuna, Bardez, North
 Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006267,Casa Fredna B,"Mazol Wado, Anjuna, Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006272,Casa Fredna D,"House No 991/ 2(A) 29 , Pamela Palms Apartment No D 101, Mazal Wado, Anjuna, Bardez, North Goa-
 403509",2
North Goa,Bardez,Anjuna,HOTN006273,Casa Fredna A,"H No 991 / 2a (04) Mazal Wado, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006291,Chrishas Beach Resort,"Hno 740 St. Michael Waddo, Anjuna, Bardez, North
 Goa",12
North Goa,Bardez,Anjuna,HOTN006313,Endless Blue Hostel & Cafe,"H.No. 234, Vagator Beach Road, Zor Waddo, Anjuna,
 Bardez, North Goa- 403509",3
North Goa,Bardez,Anjuna,HOTN006333,Nirvana Holiday Homes,"Keshia Holiday Kottages Anjuna, Anjuna, Bardez,
 North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006349,Vagator Retreat,"Ehn No 343 Duel Waddo, Anjuna, Bardez, North Goa-
 403509",12
North Goa,Bardez,Anjuna,HOTN006374,Dreamsville Hotel And Resorts,"1647/2 , Devul Waddo Ozran Beach Road, Anjuna,
 Anjuna, Bardez, North Goa- 403509",51
North Goa,Bardez,Anjuna,HOTN006393,Amit Aher,"Pamela Palms Flat No C-002 Mazal Wado Near Anjuna Football Ground, Anjuna, Bardez, North Goa- 400050",1
North Goa,Bardez,Anjuna,HOTN006394,Villa Divino,"House No 195/2b, Ground Floor, Zorwado, Anjuna,
 Bardez, North Goa",3
North Goa,Bardez,Anjuna,HOTN006399,Anjuna Beach Club,"H No 719/5, Anjuna, Bardez, North Goa- 403509",8
North Goa,Bardez,Anjuna,HOTN006404,La Luxo,"Ehn No. 962, Grand Peddem, Anjuna, Bardez Goa,
 Anjuna, Bardez, North Goa- 403509",6
North Goa,Bardez,Anjuna,HOTN006415,Tranquille F-10,"Hno 536/1 Flat No 10 Tranquille 2nd Floor, Anjuna,
 Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN006434,Bay View Resort,"Survey 11/9, H No 1056 Paddem-Anjuna Near Flee
 Market, Anjuna, Bardez, North Goa- 403509",14
North Goa,Bardez,Anjuna,HOTN006458,Katha,"Hno 536/1f7 Tranquillie 2nd Floor, Anjuna, Bardez,
 North Goa",4
North Goa,Bardez,Anjuna,HOTN006465,Vagatorian,"Vagator, Anjuna, Bardez, North Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN006467,Arrna,"Hno 536/1-F8 Tranquille, Anjuna, Bardez, North Goa",2
North Goa,Bardez,Anjuna,HOTN006484,Bella House,"Anjuna, Anjuna, Bardez, North Goa- 403509",4
North Goa,Bardez,Anjuna,HOTN006507,"The Yellow House - Ihcl
 Seleqtions","House No. 1240/5, Survey No. 519/1 & 524/34,
 Anjuna, Bardez, North Goa- 403509",49
North Goa,Bardez,Anjuna,HOTN006523,Dev Shanti Realtors,"1247/13a, Anjuna, Bardez, North Goa",61
North Goa,Bardez,Anjuna,HOTN006546,Holitel,"H No 1259-4 Survey No 511-3 Gaunchi Aradi Anjuna Bardez Goa, Anjuna, Bardez, North Goa- 403509",44
North Goa,Bardez,Anjuna,HOTN006549,Om Mahadev Guest House,"Hno 713/1 St Anthony Waddo, Anjuna, Bardez, North
 Goa- 403509",5
North Goa,Bardez,Anjuna,HOTN006611,"San Francisco Restaurant (Slow
 Tide)","Slow Tide, St Anthony Prias Waddo,, Anjuna, Bardez,
 North Goa- 403509",0
North Goa,Bardez,Anjuna,HOTN006614,Francis House,"Badem, Anjuna, Anjuna, Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006618,Shiva Valley,"H No 762/1, St Michael Waddo, Anjuna, Bardez, North
 Goa- 403509",0
North Goa,Bardez,Anjuna,HOTN006661,"Flat 27 B Symphonny
 Apartments","Chapora, Anjuna, Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006663,Flat 6 Symphonny Apartments,"Chapora, Anjuna, Bardez, North Goa- 403509",1
North Goa,Bardez,Anjuna,HOTN006712,Dylan Declan Rooms,"Flea Market Anjuna, Anjuna, Bardez, North Goa-
 403509",2
North Goa,Bardez,Anjuna,HOTN006713,Meraki By Sash Villas,"Hno 1182/12 Villa B1 Casa Del Sol, Anjuna, Bardez,
 North Goa",2
North Goa,Bardez,Anjuna,HOTN006722,Hari Mirch,"Survey No 262/2, Anjuna, Bardez, North Goa- 403509",44
North Goa,Bardez,Anjuna,HOTN006749,La Olalian Villa No. 3,"H. No. 1301/23, Anjuna, Bardez, North Goa- 403509",2
North Goa,Bardez,Anjuna,HOTN006757,Mitra Hostel,"H No 186/17 Survey No 436/1 Anjuna Bardez,
 Anjuna, Bardez, North Goa- 403509",9
North Goa,Bardez,Marna,HOTN001895,Noronha Residency,"H.No:53-1 A, Igrez Vaddo, Siolim, Marna, Bardez,
 North Goa- 403517",1
North Goa,Bardez,Marna,HOTN003536,Anurag Nautiyal,"H.No.93/1(Ugf-1), 1st Floor, Treas, Marna, Bardez,
 North Goa",1
North Goa,Bardez,Marna,HOTN003845,"Ayan Hotels And Resorts
 Private Limited","Survey No.93/1, Marna, Bardez, North Goa",10
North Goa,Bardez,Marna,HOTN004225,Mi Casa Es Su Casa-A102,"1319/A-102 Bella Casa Maohlem Bhat, Marna,
 Bardez, North Goa- 403517",1
North Goa,Bardez,Marna,HOTN004346,La Avilla 16,"Hno 222/A/V/15, Marna, Bardez, North Goa",2
North Goa,Bardez,Marna,HOTN004420,Villa 17,"Hno 222/A/V/16 Villa No 17 La Avilla, Marna, Bardez,
 North Goa",2
North Goa,Bardez,Marna,HOTN004516,Grstays,"H.No. 170/7c2/V1, Marna, Bardez, North Goa- 403517",3
North Goa,Bardez,Marna,HOTN004517,Grstays,"H. No. 170/7c2/V2, Marna, Bardez, North Goa-
 403517",3
North Goa,Bardez,Marna,HOTN004824,Tellado Villas,"Hno- 76-2-B-V-2 Cruzwado, Marna, Bardez, North
 Goa- 403517",1
North Goa,Bardez,Marna,HOTN004825,Tellado Villas,"H.No-76-2_B-V-3 Cruzwado, Marna, Bardez, North
 Goa- 403517",1
North Goa,Bardez,Marna,HOTN005192,Sun House,"Hno 80-1-A-Vi, Marna, Bardez, North Goa",4
North Goa,Bardez,Marna,HOTN006091,Villa 4 D Elegance Meadows,"Hno 159/6/A/V4 Deleganc Meadows, Marna, Bardez,
 North Goa",3
North Goa,Bardez,Marna,HOTN006619,A-4 Villa Serena,"Marna, Marna, Bardez, North Goa- 403517",2
North Goa,Bardez,Marna,HOTN006703,Blind Mountain,"Marna Siolim, Marna, Bardez, North Goa- 403519",1
North Goa,Bardez,Arpora,HOT0000004,Prince Santosh Holiday Homes,"H No 404 Sim Vaddo, Arpora, Bardez, North Goa",4
North Goa,Bardez,Arpora,HOT0000048,Mykonos Blu,"Arpora Baga River Front, Arpora, Bardez, North Goa",20
North Goa,Bardez,Arpora,HOT0000059,Woke Hostel Arpora,"H.No.154 Diwan Bhati, Arpora, Bardez, North Goa-
 403516",4
North Goa,Bardez,Arpora,HOT0000069,Hotel Goa Continental,"97, Mainath Bhati, Arpora, Bardez, North Goa",20
North Goa,Bardez,Arpora,HOTN000083,D'Souza Brothers Guest House,"H.No. 526/1/A, Arpora, Bardez, North Goa- 403516",5
North Goa,Bardez,Arpora,HOTN000194,Sun Village Resorts Pvt Ltd,"H.No.505/1,A,B,C,D,E,F,&G,Sanqwadi, Arpora, Bardez,
 North Goa- 403516",135
North Goa,Bardez,Arpora,HOTN000224,"Riviera De Goa Resorts And
 Hotels Pvt Ltd","Ximer, Arpora, Bardez, North Goa",104
North Goa,Bardez,Arpora,HOTN000317,"The Sea Horse Resort Unit Of
 Varnik Resorts Pvt Ltd","H.No. 520/2 Baga Waddo Near Pride Sun Village,
 Arpora, Bardez, North Goa- 403518",33
North Goa,Bardez,Arpora,HOTN000343,Domingos Guest House,"H.No.617, River Cross Baga, Arpora, Bardez, North
 Goa- 403516",4
North Goa,Bardez,Arpora,HOTN000346,Villa Simoes,"H. No 539 Baga, Arpora, Bardez, North Goa",8
North Goa,Bardez,Arpora,HOTN000376,Raj Villa Guest House,"H.No- 456/2a, Kudach Waddo, Arpora, Bardez, North
 Goa- 403516",2
North Goa,Bardez,Arpora,HOTN000388,Iveras Nest,"H. No 522 Baga, Arpora, Bardez, North Goa- 403516",3
North Goa,Bardez,Arpora,HOTN000412,House No 586 (Pga),"H. No 586, Retreat House Rd, Arpora, Bardez, North
 Goa- 403516",4
North Goa,Bardez,Arpora,HOTN000490,Resort Rio,"Tambudki, Arpora, Bardez, North Goa- 403518",82
North Goa,Bardez,Arpora,HOTN000512,Rio Residancy,"Tambudki, Arpora, Bardez, North Goa- 403518",46
North Goa,Bardez,Arpora,HOTN000538,"Lazylagoon A Lemon Tree
 Resort","H.No- 511, Baga Sankhwadi, Arpora, Bardez, North
 Goa- 403518",44
North Goa,Bardez,Arpora,HOTN000552,Divine Guest House,"H.No- 595/1, Arpora Baga, Arpora, Bardez, North Goa-
 403516",8
North Goa,Bardez,Arpora,HOTN000555,La Sunila Suite Apartment,"520/3, 520/4, 520/5, 520/6 & 520/7 Dr. Constancio
 Maschrans River View Arpora Basa Road, Arpora, Bardez, North Goa- 403517",38
North Goa,Bardez,Arpora,HOTN000577,Abalone Resorts Pvt Ltd,"Plot 275/1 Gorbhat, Arpora, Bardez, North Goa",50
North Goa,Bardez,Arpora,HOTN000588,Braganza Guest House,"H.No- 587/A, Opp New Baga Bridge, Arpora, Bardez,
 North Goa- 403516",7
North Goa,Bardez,Arpora,HOTN000611,Cristo'S Resort,"H.No.115/1, Mainath Bhatti, Arpora, Bardez, North
 Goa- 403516",5
North Goa,Bardez,Arpora,HOTN000661,Veena Guest House,"H.No-457/4, Kuddas Wada, Arpora, Bardez, North Goa",4
North Goa,Bardez,Arpora,HOTN000669,Rio Royale,"Ghorbhat Wado, Arpora, Bardez, North Goa- 403518",58
North Goa,Bardez,Arpora,HOTN000686,Coco Heritage Homes,"H. No 550/551, Next To Royal Goan Beach Club Baga,
 Arpora, Bardez, North Goa- 403516",10
North Goa,Bardez,Arpora,HOTN000706,Acron Waterfront Resort,"H No.591, Montemar Retreat House, Baga, Arpora,
 Bardez, North Goa",38
North Goa,Bardez,Arpora,HOTN000741,Melissa Guest House,"H.No- 620/2, Baga, Arpora, Bardez, North Goa",4
North Goa,Bardez,Arpora,HOTN000744,Villa Melnisha,"H.No- 558, P.O. Calangute, Arpora, Bardez, North Goa-
 403516",4
North Goa,Bardez,Arpora,HOTN000746,All Season Holiday Homes,"H.No- 246, Gorbath, Arpora, Bardez, North Goa",3
North Goa,Bardez,Arpora,HOTN000820,Unique House,"H.No- 457/14/A, Cudchar, Arpora, Bardez, North Goa",6
North Goa,Bardez,Arpora,HOTN000861,Dsouza Guest House,"H.No. 13, Veigas Vaddo, Arpora, Bardez, North Goa-
 403245",2
North Goa,Bardez,Arpora,HOTN000874,"Royal Goan Beach Club
 Monterio","H.No. 554/1, Baga Road, Arpora, Bardez, North Goa-
 403516",58
North Goa,Bardez,Arpora,HOTN000894,Roland Holiday Home,"H.No.602/1/2 Baga, Arpora, Bardez, North Goa",3
North Goa,Bardez,Arpora,HOTN000927,Dsouza Guest House,"H.No 115, Mendes Vaddo Nagoa, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN000931,Uttam Tourist Resort,"H.No-98/2 Mainat Bhati, Arpora, Bardez, North Goa",14
North Goa,Bardez,Arpora,HOTN000943,Resorte Marinha Dourada,"Tambudki, Arpora, Bardez, North Goa- 403518",203
North Goa,Bardez,Arpora,HOTN000998,La Vida Residency Suites,"Plot No-82. Sanquaddy, Nagoa, Arpora, Bardez, North
 Goa- 403518",18
North Goa,Bardez,Arpora,HOTN001177,Iapl Group Pvt Ltd (Park Regis),"H.No 480/7, S.No 157/1-A Sakwadi, Arpora, Bardez,
 North Goa- 403516",96
North Goa,Bardez,Arpora,HOTN001228,Riviera River Resort,"H.No. 575/1 Baga, Arpora, Bardez, North Goa",3
North Goa,Bardez,Arpora,HOTN001229,Riviera River Resort,"575/2 Baga, Arpora, Bardez, North Goa",4
North Goa,Bardez,Arpora,HOTN001240,Cordelia Guest House,"H.No. 450/1 Cuddos Vaddo, Arpora, Bardez, North
 Goa- 403516",2
North Goa,Bardez,Arpora,HOTN001241,Chelsea Guest House,"H.No. 457/10 Cuddos Vaddo, Arpora, Bardez, North
 Goa- 403516",4
North Goa,Bardez,Arpora,HOTN001253,Linos Paying Guest House,"Hse No. 567, Baga Arpora, Arpora, Bardez, North Goa-
 403516",9
North Goa,Bardez,Arpora,HOTN001256,Maitri Guest House,"H.No. 524/1 Baga, Arpora, Bardez, North Goa- 403516",11
North Goa,Bardez,Arpora,HOTN001306,Casa Jondi,"Hno 326/1, Tambudki, Arpora, Bardez, North Goa-
 403516",1
North Goa,Bardez,Arpora,HOTN001347,Foxes Retreat,"H.No. 51 Fialho Vaddo Mainath Bhatti, Arpora, Bardez,
 North Goa",8
North Goa,Bardez,Arpora,HOTN001358,Riverside Regency Resort,"Riverside Street Baga, Arpora, Bardez, North Goa-
 403516",90
North Goa,Bardez,Arpora,HOTN001410,Bradley Guest House,"H.No.620/1, 620/1-A, 620/1-B, 620/1-C, Arpora,
 Bardez, North Goa",4
North Goa,Bardez,Arpora,HOTN001434,La Petite Maison,"H.No.614/615, Baga, Arpora, Bardez, North Goa-
 403516",9
North Goa,Bardez,Arpora,HOTN001471,Penedo Da Saudade,"H.No. 268, Gorbatt, Arpora, Bardez, North Goa-
 403518",3
North Goa,Bardez,Arpora,HOTN001491,Aromiaa Villas,"Cudchar, Arpora, Bardez, North Goa",49
North Goa,Bardez,Arpora,HOTN001524,Royale Nirvana Resort Part I,"H.No. 199/1 To 199/20, Arpora, Bardez, North Goa-
 403516",14
North Goa,Bardez,Arpora,HOTN001692,Resort Lagoa Azul,"Ghorbhat, Arpora, Bardez, North Goa- 403516",50
North Goa,Bardez,Arpora,HOTN001765,Margaret Guest House,"Tambudki, Arpora, Bardez, North Goa",1
North Goa,Bardez,Arpora,HOTN001785,Nilaya Hermitage,"H.No :60 Bhatti, Arpora, Bardez, North Goa- 403516",10
North Goa,Bardez,Arpora,HOTN001792,Aqua Grandiosa-203,"B-203,Aqua Grandiosa Opp Resort Mellorosa Mainat
 Bhatti, Arpora, Bardez, North Goa- 403513",1
North Goa,Bardez,Arpora,HOTN001802,Maizons Lake View Resort,"H. No 502/1 Sankwadi, Arpora, Bardez, North Goa-
 403516",56
North Goa,Bardez,Arpora,HOTN001803,Maizons Lake View Resorts,"H. No 502/1-Rt8/1 Sankwadi, Arpora, Bardez, North
 Goa",56
North Goa,Bardez,Arpora,HOTN001832,The Park Baga River Goa,"H.No 520/8,Ward No V, Plot No 16-A-1,16-A-2,And
 17baga, Arpora, Bardez, North Goa",28
North Goa,Bardez,Arpora,HOTN001952,Ivy Square,"H.No:505/10/F, Sankwadi, Arpora, Bardez, North
 Goa- 403516",12
North Goa,Bardez,Arpora,HOTN002049,The Lazy Bee Cottages,"Rauta Waddo Nagoa, Arpora, Bardez, North Goa-
 403507",20
North Goa,Bardez,Arpora,HOTN002063,Royal Nirvana Guest House,"H.No. 169/1-G-1 To 169/1-G-5,169/1-F1 To 169/1f 5
 And 169/1-S1 To 169/1-S 5dewan Bhati, Arpora, Bardez, North Goa- 403516",15
North Goa,Bardez,Arpora,HOTN002072,Excel Homes,"H.No. 452, Behind St. Anthony Chapel , Baga, Arpora,
 Bardez, North Goa- 403516",4
North Goa,Bardez,Arpora,HOTN002111,Hotel Baga Prime,"Plot No 52,Off Baga Creek Road Near Maitri Hotel,
 Arpora, Bardez, North Goa",11
North Goa,Bardez,Arpora,HOTN002115,Riveira River Resort,"H.No. 575/3, Baga, Arpora, Bardez, North Goa",2
North Goa,Bardez,Arpora,HOTN002116,Riveira River Resort,"H.No.575, Baga, Arpora, Bardez, North Goa",3
North Goa,Bardez,Arpora,HOTN002173,Bellagio Baga Llp,"H.No.526/5, Baga, Arpora, Bardez, North Goa",9
North Goa,Bardez,Arpora,HOTN002174,Coco Goa,"H.No.281,193/10,Tamudki Vado, Behind Martnhan Dourada Resort, Arpora, Bardez, North Goa- 403516",17
North Goa,Bardez,Arpora,HOTN002184,Ana Guest House,"H.No.296/1/A,Tambudki Vaddo, Arpora, Bardez,
 North Goa- 403516",2
North Goa,Bardez,Arpora,HOTN002185,Gagan Gandotra,"H.No.C-402,4th Floor Apartment, Heritage Exotica,
 Arpora, Bardez, North Goa",1
North Goa,Bardez,Arpora,HOTN002189,Jyotsna Gandotra,"H.No.C-405,4th Floor Apartment, Heritage Exotica,
 Arpora, Bardez, North Goa",1
North Goa,Bardez,Arpora,HOTN002201,Aqua Grandiosa B204,"Vp Hno.117/1-B-Ff-4 B 204 Aqua Grandiosa, Arpora,
 Bardez, North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002209,Rohit Holiday Homes,"Shriyash H.No. 366/2, Tambudki Vaddo, Arpora,
 Bardez, North Goa",10
North Goa,Bardez,Arpora,HOTN002224,Baba Guest House Sankwadi,"H.No.484/1/F Sankwadi, Arpora, Bardez, North Goa-
 403516",6
North Goa,Bardez,Arpora,HOTN002227,Aquamarine Holidays Goa,"H.No.112/2/B-A/Ugf-B2,Aldeia
 Miraflor,Mainathbhatti, Arpora, Bardez, North Goa",1
North Goa,Bardez,Arpora,HOTN002228,Aquamarine Holidays Goa,"H.No.112/2-Rv6,Aldeia Miraflor,Mainathbhatti,
 Arpora, Bardez, North Goa",1
North Goa,Bardez,Arpora,HOTN002229,Galeria Baga,"H.No.526/6, Ward No.V, Plot No 48, Baga, Arpora,
 Bardez, North Goa- 403518",1
North Goa,Bardez,Arpora,HOTN002230,Jayant Kumar Guest House,"H.No.119/1/C-304/28,Heritage Exotica Mainath
 Bhatti, Arpora, Bardez, North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002242,"The Bliss Living Riviera
 Residency","H.No.448/1ag5a,Kudas Vaddo, Arpora, Bardez, North
 Goa",1
North Goa,Bardez,Arpora,HOTN002260,Casa Ceu,"H.No 288/1,Tambudki Vaddo, Arpora, Bardez, North
 Goa- 403516",5
North Goa,Bardez,Arpora,HOTN002262,Coco Home 2,"H.No. 552/A & 552/B, Next To Royal Goan Beach Club,
 Arpora, Bardez, North Goa- 403516",15
North Goa,Bardez,Arpora,HOTN002263,Casa D'Costa,"H.No-198/3-B2, Sai Paradise, Arpora, Bardez, North
 Goa- 403511",3
North Goa,Bardez,Arpora,HOTN002266,La Goa Villa,"119/1/A-1/3, Mainath Bhatti, Arpora, Bardez, North
 Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002267,Royale Holiday Villa,"H.No.119/1/A-1/2,Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002268,Heritage Nirvana Villa,"H.No.119/1/A-2/1,Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002269,Heritage Exotica Villa,"H.No.119/1/A-1/1,Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002270,Goa Chillout Apartment,"H.No.119/1/C-301/25,Mainath Bhatti, Arpora,
 Bardez, North Goa- 403516",2
North Goa,Bardez,Arpora,HOTN002304,Alchemy Creek,"H.No. 526/1/B-Ug1 To 526/1/B-Ug4, 526/1/B-Ff1 To 526/1/B-Ff4, 526/1/B-Sf1 To 526/1/B-Sf4, 526/1/B-
 Tf1 To 526/1/B-Tf4, Arpora, Bardez, North Goa",16
North Goa,Bardez,Arpora,HOTN002327,"Green Nest Hostel And Guest
 House","H.No. 457/16 And 457/17, Kudas Waddo, Arpora,
 Bardez, North Goa- 403516",6
North Goa,Bardez,Arpora,HOTN002341,Fernandes Guest House,"H.No.126a & 126b, Trindade Vaddo, Arpora, Bardez,
 North Goa- 403516",2
North Goa,Bardez,Arpora,HOTN002353,Dimora,"H.No. 609/1 Baga, Arpora, Bardez, North Goa- 403516",2
North Goa,Bardez,Arpora,HOTN002382,Captain Quarters,"H.No. 526/8 Baga, Arpora, Bardez, North Goa- 403516",4
North Goa,Bardez,Arpora,HOTN002435,Samartha Guest House,"Aldeia Miraflor Sff2 Block C Mainath Bhatti, Arpora,
 Bardez, North Goa- 403518",1
North Goa,Bardez,Arpora,HOTN002448,"Harshada Chakravarthy And
 Gautam Chakravarthy","H.No. 61/7-V4 Mainath Bhatti, Arpora, Bardez, North
 Goa- 403519",1
North Goa,Bardez,Arpora,HOTN002452,Villa Serenity Guest House,"Plot No. 22 S. No. 155/1 H.No. 526/9 Baga, Arpora,
 Bardez, North Goa- 403516",6
North Goa,Bardez,Arpora,HOTN002453,Villa Celebration Guest House,"S. No. 155/1 Plot No. 67 H. No 526/13, Arpora,
 Bardez, North Goa- 403516",6
North Goa,Bardez,Arpora,HOTN002465,Goastaycation,"H.No. 112/3-Ff-F1, 112/3-Ff-F2, 112/3-Ff-F3, 112/3- Ff-F4, 112/3-Ff-F5, 112/3-Ff-F6, 112/3-Ff-F7, 112/3- Ff-F8, 112/3-Sf-F5, 112/3-Sf-F6, 112/3-Sf-F7, 112/3-
 Sf-F8, Arpora, Bardez, North Goa",12
North Goa,Bardez,Arpora,HOTN002486,Aquamarine Holidays Goa,"H.No.112/2-Rv7,Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002487,Aquamarine Holidays Goa,"H.No.112/2/B-A/Ugf-C2,Aldeia Miraflor,Mainathbhatti, Arpora, Bardez, North Goa-
 403516",1
North Goa,Bardez,Arpora,HOTN002488,Aquamarine Holidays Goa,"H.No.112/2/B-A/Ugf-B1,(Ugf-B1)Mainath Bhatti,
 Arpora, Bardez, North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002529,Aquamarine Holidays Goa,"H.No.112/2/B-A/Ff-C2 Mainath Bhatti, Arpora,
 Bardez, North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002530,Aquamarine Holidays Goa,"H.No.112/2/B-A/Ugf-D1 Mainath Bhatti, Arpora,
 Bardez, North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002531,Aquamarine Holidays Goa,"H.No.112/2/B-A/Ff-B1 Mainath Bhatti, Arpora,
 Bardez, North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002535,Avng Goan Holidays,"H.No.112/3-Ug-E1 To 112/3-Ug-E4,112/3-Sf-E1 To 112/3-Sf-E4,112/3-Ff-E1 To 112/3-Ff-E4,Mainath
 Bhatti, Arpora, Bardez, North Goa- 403516",12
North Goa,Bardez,Arpora,HOTN002550,Gayatri Kunj Home Stay,"H.No. 431/4/A Simvaddo, Arpora, Bardez, North Goa",2
North Goa,Bardez,Arpora,HOTN002553,Aquamarine Holidays Goa,"H.No. 112/2-Rv1 Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002554,Aquamarine Holidays Goa,"H.No. 112/2-Rv1 Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002555,Aquamarine Holidays Goa,"H.No. 112/2-Rv1 Mainath Bhatti, Arpora, Bardez,
 North Goa- 403516",1
North Goa,Bardez,Arpora,HOTN002558,Aquamarine Holidays Goa,"H.No. 112/2/B-A/Sf-C1 Mainath Bhatti, Arpora,
 Bardez, North Goa- 403516",1
